epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,train_embedding_diffusion_view_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,diffusion_reconstruction_score,diffusion_score_calibration_mean,diffusion_score_calibration_std,diffusion_score_fraud_mean,diffusion_score_loss,diffusion_score_mean,diffusion_score_normal_mean,diffusion_score_std,diffusion_selected_count,diffusion_sigma_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm,pseudo_contrastive_anomaly_count,pseudo_contrastive_bucket_count,pseudo_contrastive_normal_count,pseudo_contrastive_selected_ratio
1,1.2179543800426251,1.2141249766855529,0.0,0.0,0.0,0.0,0.0,1.186123567590998e-05,0.02477887971210955,0.0,2.030831181641781,0.5584366095788551,0.0,0.03,1.0,0.1,0.0,0.0,1.0,0.7898225629110556,0.2310953562282281,0.17582460227790878,16084,4021,12063,0,0,0.25,0,0,6325.242424242424,7094.666666666667,34.124244285352304,351476.74306788587,16.70000093091618,1,0.0003,3.0,1.0294414830930305,1.4480192236828082,1.3061272917371807,0.6366899970806006,0.006839344002814455,0.0,1.186123567590998e-05,0.5062566218954144,5.184696255308209,6.281009106329381,0.12330400151625315,6.441572088183778,0.5584366095788551,6.2285536563757695,6.157547603953969,0.22127528928897597,365.54545454545456,0.6234958785952944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4848484992980957,1.3965544122638125,1.4411372108892961,0.2946977667849172,1.3121595852302783,0.9465230576919786,0.9465230576919786,0.02477887971210955,0.3581911957625187,1.868080973625183,,,,
2,0.6884719828764597,0.6844217099926688,0.0,0.0,0.0,0.0,0.0,2.4420378560369667e-05,0.03796818495645008,0.0,1.6518227548310251,0.4976160472089594,0.0,0.03,1.0,0.1,0.0,0.0,1.0,0.8181400107770198,0.4014427557668031,0.3633810853145791,16084,4021,12063,10704,0,0.25,23262,27652,6367.818181818182,7129.484848484848,35.82305711688417,309027.7630911162,19.735496201298453,2,0.0003,3.0,0.8568312543811221,1.3753353321191035,1.2476596001422766,0.5630585903471167,0.015515538722728237,5.918560606060606e-05,2.4420378560369667e-05,0.5084884582143842,4.484186793818618,5.574557567733766,0.9531626351561646,6.883635506485447,0.4976160472089594,5.398021856943767,4.902817480491869,1.1802257245237178,365.54545454545456,0.6173218380321156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4848484992980957,1.0031347943074775,1.3728874145132122,0.08593031470522736,1.2986994476029368,0.9368136055541761,0.9368136055541761,0.03796818495645008,0.3544356543006319,1.2317015944105205,,,,
3,0.6389461195830143,0.6315933912992477,0.0,0.056819505312226036,0.026967588699225224,0.0,0.0,6.944840424694121e-05,0.03071940825391335,0.16152795336463235,1.6756966077920161,0.48863295623750397,0.0,0.012,0.4,0.1,0.0,0.0,1.0,0.7723413116134102,0.40978096027701516,0.40012082582727543,16084,4021,12063,10704,0,0.25,23262,27652,6348.787878787879,7092.393939393939,38.49173632535067,295571.54664935486,11.805724147594336,2,0.0003,3.0,1.101287467913194,1.5410271846886836,1.5214533191738706,0.5005050048683629,0.023303307197762257,0.0004734848484848485,6.944840424694121e-05,0.5250528472842593,4.627448761101925,5.629486930529168,1.1927048543985652,7.154825542912339,0.48863295623750397,5.68698651862867,5.197707103960441,1.124721109867096,365.54545454545456,0.638687430006085,1.0,0.2148509926416657,0.969696966084567,0.20931585494315985,0.25,0.43417654344529816,1.0,0.03922468683484829,0.969696966084567,0.8607782324155172,0.4848484992980957,1.1798526536334644,1.5344942157918757,0.1483943767168305,1.3149034254478686,0.9485023220380148,0.9485023220380148,0.03071940825391335,0.33028853300845984,1.4138580307816013,22.4,2.6,23.0,0.2364583432674408
4,0.48524888401681726,0.47866751434225024,0.0,0.1222527324024475,0.019348848949779163,0.0,0.0,1.6003452015645575e-05,0.02635540159286448,0.06825094060464339,1.309950954986341,0.48939019441604614,0.0,0.014827561701510951,0.4942520567170317,0.1,0.0,0.0,1.0,0.794591030675729,0.243816639500221,0.19560157261880412,16084,4021,12063,10704,0,0.25,23262,27652,6398.363636363636,7166.30303030303,35.50811617302172,221609.3779370857,16.5109650257862,2,0.0003,3.0,0.858299504626881,1.2433182434602217,1.3469975030783452,0.2817627480535796,0.020981866189024666,0.00011837121212121212,1.6003452015645575e-05,0.5081018390077533,3.8586919524452905,4.975804703136911,1.578279178879049,7.02692849708326,0.48939019441604614,4.771890279018518,4.020210909120964,1.7352681196097173,365.54545454545456,0.6069095730781555,1.0,0.23371848938140002,0.9999999963875973,0.1678782498294657,0.5,0.5432625801274271,1.0,0.04786128945874445,0.9999999963875973,0.9870228550650857,0.4848484992980957,0.8964315327731046,1.2388141191366948,0.15968623621897263,1.3348175323370732,0.9628673087466847,0.9628673087466847,0.02635540159286448,0.31446367050662183,1.0102529868935093,23.0,2.6,23.0,0.2395833432674408
5,0.3791974507498019,0.37140156148057996,0.0,0.15063060007312082,0.009907173387932055,0.0,0.0,0.00017518621594221756,0.026125810401881056,0.12443958448641228,1.4828598029685742,0.4768802577799017,0.0,0.018406561601603474,0.6135520533867824,0.1,0.0,0.0,1.0,0.7783405732178937,0.4849546062751037,0.4752695752492851,16084,4021,12063,10704,0,0.25,23262,27652,6390.545454545455,7177.666666666667,38.1710428758101,235027.3302371863,7.556756906437151,2,0.0003,3.0,1.1023817531990283,1.2510012731407627,1.6341773018692478,0.3647086295214566,0.029136175459081478,0.0013661383876972127,0.00017518621594221756,0.5152487754821777,4.289971734538223,5.117805390289063,1.427243873241356,7.069324666803533,0.4768802577799017,5.191525531537605,4.565592751358494,1.400121215618018,365.54545454545456,0.642197518637686,1.0,0.18852086613575617,0.9999999963875973,0.21110613147417703,0.75,0.5322885838421908,1.0,0.03529251019724391,0.9999999963875973,0.989257194779136,0.4848484992980957,1.1091350009947112,1.245786423032934,0.16575651796478214,1.3303536176681519,0.9596472545103594,0.9596472545103594,0.026125810401881056,0.3200576269265377,1.168935562625076,22.4,2.6,23.0,0.2364583432674408
6,0.35189719565890054,0.3438693474639546,0.0,0.1781100041487,0.009958744049072266,0.0,0.0,9.65880335019337e-05,0.024131288974207233,0.0788542465730147,1.2047575838638074,0.4598110959385381,0.0,0.02167524235849773,0.7225080786165909,0.1,0.0,0.0,1.0,0.8094364967737611,0.2988724572299762,0.25342460582174053,16084,4021,12063,10704,0,0.25,23262,27652,6369.333333333333,7132.69696969697,35.84610100948449,163730.1847034801,14.628983813704867,2,0.00015,3.0,0.9206460624030142,1.1687193043304211,1.4626018928759026,0.3131645290237485,0.03009714468410521,0.0008859629954465411,9.65880335019337e-05,0.49760039015249774,3.6484773592515425,4.65988439264439,1.8862722599721051,7.29689293196707,0.4598110959385381,4.463333093758785,3.518813234387022,2.0265159426313457,365.54545454545456,0.5985061869476781,1.0,0.16879055039449173,0.9999999963875973,0.15349813370090543,1.0,0.639114853107568,1.0,0.03289098030125553,0.9999999963875973,0.9912774942137978,0.4848484992980957,0.8654057383537292,1.1607775543675278,0.2241343715877244,1.3240659164659905,0.9551116535157869,0.9551116535157869,0.024131288974207233,0.32411102724797797,0.9122545610774647,23.0,2.6,23.0,0.2395833432674408
7,0.3142992863149354,0.30515690780047217,0.0,0.18895677409388803,0.0074567325187451915,0.0,0.0,0.00010337863579589987,0.026854220596071558,0.12985573031685568,1.3682143399209687,0.4579008221626282,0.0,0.022713260421737446,0.7571086807245816,0.1,0.0,0.0,1.0,0.5932600000484725,0.18125087989573463,0.0589735927405647,16084,4021,12063,10704,0,0.25,23262,27652,6375.606060606061,7160.212121212121,37.87190622271913,192491.47120990176,3.94029804612651,2,0.00015,3.0,1.1307197321544995,1.1895079775290056,1.724972609317664,0.2826606391957312,0.034046927354100975,0.0006510416666666666,0.00010337863579589987,0.4972856297637477,4.040350444389112,4.844266104748721,1.7495125222700219,7.360558928865375,0.4579008221626282,5.011225266890093,4.228114207585652,1.6727111917553525,365.54545454545456,0.5938681887857842,1.0,0.17693423050822635,0.9999999963875973,0.20787443627010693,1.0,0.5547002463629751,1.0,0.03257644035373673,0.9999999963875973,0.991941208189184,0.4848484992980957,1.0727535847461585,1.17927439104427,0.2834704473163142,1.3123478347604924,0.9466588424913811,0.9466588424913811,0.026854220596071558,0.33653951142773486,1.1875506711728645,23.0,2.6,23.0,0.2395833432674408
8,0.2667432341611747,0.2587458299416484,0.0,0.16463718642339562,0.009312006560238924,0.0,0.0,0.00018842180857477203,0.022279475395324964,0.09526340618278041,1.1998861703005703,0.4509586610577323,0.0,0.023053769283635277,0.768458976121176,0.1,0.0,0.0,1.0,0.7630202800247856,0.23275311113275207,0.21752819415110658,16084,4021,12063,10704,0,0.25,23262,27652,6394.151515151515,7160.515151515152,36.72210889874083,136886.01995664655,6.320519727287871,2,0.00015,3.0,0.9962866288242918,1.1260801336982034,1.5524869254141143,0.30144747820767487,0.03888301156235464,0.001006155303030303,0.00018842180857477203,0.5037448641025659,3.676950028448394,4.695438088071819,2.127291483763233,7.652529066259211,0.4509586610577323,4.507845408988722,3.459617773691813,2.179476275588527,365.54545454545456,0.6244430415558092,1.0,0.1554921969319835,0.9999999963875973,0.15304662129192642,1.0,0.6490174251975436,1.0,0.029853159293645258,0.9999999963875973,0.9915704980041041,0.4848484992980957,0.8493056550170436,1.1158944314176387,0.3335565689838294,1.3280755498192527,0.9580039978027344,0.9580039978027344,0.022279475395324964,0.3276725113391876,0.8254630692077406,20.6,2.6,23.0,0.22708334028720856
9,0.260472257706252,0.25198796097979403,0.0,0.15900497025612628,0.005208232186057351,0.0,0.0,0.0005063545432869543,0.026057995085659168,0.1339870962229642,1.337749669046113,0.44409298264619074,0.0,0.023575587452283667,0.7858529150761223,0.1,0.0,0.0,1.0,0.716242641290851,0.15663362983745785,0.09582454534342544,16084,4021,12063,10704,0,0.25,23262,27652,6335.727272727273,7087.212121212121,37.49059295654297,164747.67830403647,5.252258981719161,2,0.00015,3.0,1.2384908885666819,1.1581787683747031,1.7962653239568074,0.26715133090813953,0.04441564236626481,0.0004716637530222987,0.0005063545432869543,0.5049383432576151,4.017437826503407,4.81881198757842,1.817559943205574,7.536516594164299,0.44409298264619074,4.977834065755208,4.1249400702389805,1.747497974020062,365.54545454545456,0.6194139086838925,1.0,0.14759700971119333,0.9999999963875973,0.20151003246957605,1.0,0.6037026670846072,1.0,0.026649160889174902,0.9999999963875973,0.9921263239600442,0.4848484992980957,1.1187317154624246,1.1453479799357327,0.3200408373818253,1.331501061266119,0.9604749805999525,0.9604749805999525,0.026057995085659168,0.3208136468222647,1.0497859662229365,23.0,2.6,23.0,0.2395833432674408
10,0.2240002512028723,0.21699073910713196,0.0,0.13009107349948448,0.004861840696045847,0.0,0.0,0.00021965414094721024,0.028506188409995626,0.07570398937572133,1.0673471635038203,0.42883071754917956,0.0,0.023567575500641032,0.7855858500213678,0.1,0.09733338967666276,0.9733338967666275,1.0,0.5799190956028305,0.15746953603438862,0.05757659229517591,16084,4021,12063,10704,0,0.25,23262,27652,6328.636363636364,7100.272727272727,37.008883794148765,136422.2518162583,9.053308897849286,2,7.5e-05,3.0,1.0162326061364375,1.2220340985240359,1.5711502667629358,0.25932447386510443,0.03869780661030249,0.00041429924242424244,0.00021965414094721024,0.48924426418362243,3.42925407669761,4.479642456811871,2.348801860059656,8.148570696512857,0.42883071754917956,4.289620934110699,3.0033044815063477,2.5363609646305894,365.54545454545456,0.6374335144505356,1.0,0.12202599915591153,0.9999999963875973,0.13913824770486716,1.0,0.7063974810369087,1.0,0.022163265920949703,0.9999999963875973,0.993412536202055,0.4848484992980957,0.8910033540292219,1.203613609978647,0.4564908164920229,1.3306429530635024,0.959855975526752,0.959855975526752,0.028506188409995626,0.3222169316176212,0.7179223913134951,23.0,2.6,23.0,0.2395833432674408
11,0.19753387197852135,0.18989693858858311,0.0,0.13502413057016605,0.003298033367503773,0.0,0.0,0.00037433194269066337,0.025246685416746142,0.11862320791591298,1.2709521922198208,0.4316590030988057,0.0,0.024317281956357874,0.8105760652119292,0.1,0.19316871992146206,0.9658435996073103,1.0,0.5820166357116832,0.15681618629154936,0.05784208029520789,16084,4021,12063,10704,0,0.25,23262,27652,6299.575757575758,7050.212121212121,37.07436867916223,140620.31996848367,3.704511703866901,2,7.5e-05,3.0,1.2096334677754026,1.1675266894427212,1.7871880892551306,0.27255621326692175,0.04103518401583036,0.0007694128787878788,0.00037433194269066337,0.49432602524757385,3.8662123535618638,4.774676317662019,2.0966710956370553,7.877858812158758,0.4316590030988057,4.914833690180923,3.9271587241779673,1.9678524082357234,365.54545454545456,0.6177035777857809,1.0,0.12453260227586284,0.9999999963875973,0.1885079082214471,1.0,0.6350768045945601,1.0,0.021322683480596454,0.9999999963875973,0.9933894601735201,0.4848484992980957,1.1202992525967685,1.1469101689078591,0.5401335060596466,1.3299709558486938,0.9593712488810221,0.9593712488810221,0.025246685416746142,0.32657456849560595,1.1070378856225447,21.2,2.6,23.0,0.2302083432674408
12,0.14494304325092922,0.13886540902383399,0.0,0.10490052435885776,0.002900401751200358,0.0,0.0,0.00043602539473354364,0.0193214834966277,0.09030815146186134,1.0340872425021548,0.4213804747119094,0.0,0.02444589785690948,0.8148632618969827,0.1,0.28931791002847207,0.9643930334282402,1.0,0.6313523019116688,0.15532813937031947,0.06636505860943129,16084,4021,12063,10704,0,0.25,23262,27652,6325.181818181818,7081.181818181818,33.718285820700906,78546.99965598366,1.8400229089187854,2,7.5e-05,3.0,1.0548988544579707,1.1735908334905452,1.5773803682038279,0.2791941969683676,0.0418179871683771,0.0012428977272727273,0.00043602539473354364,0.4964524164344325,3.3652629635550757,4.3713387140695605,2.4849142098963766,8.257909514687277,0.4213804747119094,4.152544158877748,2.784089131788774,2.6529397892229483,365.54545454545456,0.6400829860658357,1.0,0.09763671491633762,0.9999999963875973,0.12906223400072617,1.0,0.7337692416075504,1.0,0.016213951667657857,0.9999999963875973,0.993996672558062,0.4848484992980957,0.8925421436627706,1.1431691195025588,0.7826750892581362,1.3316675605195942,0.9605950821529735,0.9605950821529735,0.0193214834966277,0.33610622359044623,0.9415392622803197,22.2,2.6,23.0,0.23541667461395263
13,0.1841230227640181,0.1771114793690768,0.0,0.12464255128394473,0.0027834050583116937,0.0,0.0,0.00015766141917662355,0.01433279171407886,0.13258992000059647,1.250710205598311,0.430442037004413,0.0,0.025169157125100948,0.8389719041700316,0.07317276705444221,0.3832461849365398,0.9581154623413494,0.03261679802278067,0.6428545894028126,0.15604204569558563,0.06882361256750147,16084,4021,12063,10704,0,0.25,23262,27652,6330.30303030303,7081.787878787879,33.99047920920632,82679.74454752605,2.811831219629808,2,7.5e-05,3.0,1.2057867519783252,1.1541045326175112,1.7916656010078662,0.26002555588881177,0.038464992166017044,0.0005308493590829047,0.00015766141917662355,0.4867008671616063,3.85000035979531,4.586395936254129,2.100171701874258,7.689574920769894,0.430442037004413,4.77712986686013,3.806314872972893,1.9262427452838782,365.54545454545456,0.6048112692254962,1.0,0.11453642865473573,0.9999999963875973,0.18303059673670566,1.0,0.660864486838832,1.0,0.01909186860377138,0.9999999963875973,0.9945462111270789,0.4848484992980957,1.1144336660703023,1.122483658068108,0.905596982349049,1.3390437653570464,0.9659158750013872,0.9659158750013872,0.01433279171407886,0.3294540454040874,1.2515794977997288,23.0,2.6,23.0,0.2395833432674408
14,0.13239805953520717,0.1272350564373262,0.0,0.09647937547979933,0.00215944918719205,0.0,0.0,0.00012792310382902735,0.009850560293257744,0.074723583279234,0.971031235926079,0.4177864275195382,0.0,0.025060958337345163,0.8353652779115055,0.06709386328624511,0.4700876673393555,0.940175334678711,0.0,0.5730055242325413,0.15651291809958665,0.0565989791571087,16084,4021,12063,10704,0,0.25,23262,27652,6321.242424242424,7076.636363636364,33.57704405351119,70317.72231963187,1.6036275760693983,2,3.75e-05,3.0,1.0261630795218728,1.2242538838675527,1.5792901226968477,0.2566064338792454,0.037680127516840446,0.0004172100064655145,0.00012792310382902735,0.480262172944618,3.1751695257244688,4.175260875278599,2.5311705753377267,8.101343053759951,0.4177864275195382,3.9135029315948486,2.517556334986831,2.6772110534436777,365.54545454545456,0.6230543797666376,1.0,0.08952814504278428,0.9999999963875973,0.12430137497457591,1.0,0.7615254431059866,1.0,0.01472323631980654,0.9999999963875973,0.9942758841948076,0.4848484992980957,0.8949374285611239,1.1784792397961472,1.2073365540215464,1.3487453280073223,0.9729140942746942,0.9729140942746942,0.009850560293257744,0.32374367569432116,1.0093491221919204,23.0,2.6,23.0,0.2395833432674408
